d_loss,epoch,g_fm,g_gan,g_mag,g_sc,g_total,step,val_loss
,22,,,,,,47885,33.35057067871094
0.12485919892787933,22,1.9423608779907227,0.6688858866691589,0.102220818400383,0.16519981622695923,37.12274169921875,47885,
,23,,,,,,49967,29.6865291595459
0.1329394280910492,23,1.8774704933166504,0.6273289918899536,0.1034860908985138,0.17150016129016876,37.513362884521484,49967,
,24,,,,,,52049,30.855419158935547
0.12151331454515457,24,1.8902477025985718,0.6419305205345154,0.09939119964838028,0.15748044848442078,35.78030776977539,52049,
,25,,,,,,54131,29.164018630981445
0.12318621575832367,25,1.896770715713501,0.652376115322113,0.09941565990447998,0.15816563367843628,35.89437484741211,54131,
,26,,,,,,56213,29.79958152770996
0.12395425140857697,26,1.8922158479690552,0.6517390012741089,0.09843407571315765,0.15775495767593384,35.73173522949219,56213,
,27,,,,,,58295,29.53447151184082
0.13626955449581146,27,1.8478070497512817,0.6105166077613831,0.10003471374511719,0.16452758014202118,36.3057975769043,58295,
,28,,,,,,60377,30.412099838256836
0.1320108026266098,28,1.8679029941558838,0.643532931804657,0.09809702634811401,0.15755775570869446,35.54856872558594,60377,
,29,,,,,,62459,30.975055694580078
0.131964772939682,29,1.8523164987564087,0.6264914274215698,0.09821024537086487,0.158669576048851,35.5760383605957,62459,
,30,,,,,,64541,30.517772674560547
0.14656566083431244,30,1.8131223917007446,0.5940617322921753,0.10167481750249863,0.1722494512796402,37.05210876464844,64541,
,31,,,,,,66623,28.98850440979004
0.1161029264330864,31,1.8920632600784302,0.6458787322044373,0.09641395509243011,0.15219716727733612,34.96731185913086,66623,
,32,,,,,,68705,28.98334312438965
0.10799890011548996,32,1.8880091905593872,0.6327731609344482,0.09416908770799637,0.1467810720205307,34.16783142089844,68705,
,33,,,,,,70787,29.32431411743164
0.11883849650621414,33,1.8974580764770508,0.6567276120185852,0.09553742408752441,0.152608722448349,34.958648681640625,70787,
,34,,,,,,72869,29.31706428527832
0.12587369978427887,34,1.8780364990234375,0.6495097875595093,0.09513860940933228,0.15314537286758423,34.86804962158203,72869,
,35,,,,,,74951,33.30878448486328
0.135004460811615,35,1.8505301475524902,0.6314869523048401,0.09501305967569351,0.15363873541355133,34.749290466308594,74951,
,36,,,,,,77033,29.447059631347656
0.13770565390586853,36,1.7056519985198975,0.551843523979187,0.09707098454236984,0.1594030261039734,34.727481842041016,77033,
,37,,,,,,79115,28.65566062927246
0.115847148001194,37,1.7698129415512085,0.603706419467926,0.09229236096143723,0.14478044211864471,33.16011047363281,79115,
,38,,,,,,81197,29.741485595703125
0.11531645059585571,38,1.759820818901062,0.5901087522506714,0.09100449085235596,0.14290288090705872,32.77995300292969,81197,
,39,,,,,,83279,29.249303817749023
0.1283390074968338,39,1.7953511476516724,0.625649631023407,0.09316641837358475,0.15041010081768036,33.96003723144531,83279,
,40,,,,,,85361,29.158384323120117
0.133250892162323,40,1.8000237941741943,0.6093186736106873,0.09233397245407104,0.14854004979133606,33.69681930541992,85361,
,41,,,,,,87443,30.176620483398438
